EAN;Produto;Fabricante;Categoria;NCM;CEST;EAN adicional;Fornecedor;Ativo
0042882985938;AÇAÍ OCEAN 250ML;GENÉRICO;SORVETES;;;;;TRUE
0070847022206;ENERGÉTICO MONSTER ZERO ULTRA 473ML;GENÉRICO;ENERGÉTICOS E ISOTÔNICOS;;;;;TRUE
0070847022305;ENERGÉTICO MONSTER ABSOLUTELY ZERO 473ML;GENÉRICO;ENERGÉTICOS E ISOTÔNICOS;;;;;TRUE
0070847033301;ENERGÉTICO MONSTER MANGO LOCO 473ML;GENÉRICO;ENERGÉTICOS E ISOTÔNICOS;;;;;TRUE
0074468763609;PERCABONATO DE SÓDIO CALISUL 500G;GENÉRICO;LIMPEZA;;;;;TRUE
032024780397;CREME DENTAL COLGATE 90GR;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
040141413895;CAFÉ COM AÇAÍ NON COFFEE 250G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
0602883236813;PASSATA DI MATTEO 680G;GENÉRICO;MERCEARIA;;;;;TRUE
0609963581023;AÇAÍ COM MORANGO 200ML;GENÉRICO;CONGELADOS;;;;;TRUE
0609963883356;ACENDEDOR REI DA BRASA 450ML;GENÉRICO;CHURRASCO;;;;;TRUE
0618341168169;AÇAÍ SELFSY 500ML;GENÉRICO;SORVETES;;;;;TRUE
0619205021378;ALCOOL ETILICO 70° NOVA ERA 1L;GENÉRICO;LIMPEZA;;;;;TRUE
0619205941805;PÃO DE ALHO RBR 320G;GENÉRICO;CHURRASCO;;;;;TRUE
070330605282;ISQUEIRO BIC;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
070330609723;ISQUEIRO BIC MAXI;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
070330717510;APARELHO DE BARBEAR BIC CONFORT 3 AZUL;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
070330717527;APARELHO DE BARBEAR BIC CONFORT 3 VERDE;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
